customer_name,customer_address,customer_city,customer_state,customer_salary,customer_pincode,customer_job_category
Allison Hill,18196 Anthony Forge,New Carolyn,Oklahoma,$12475.99,26563,IT
Meredith Barnes,402 Peterson Drives Apt. 511,Davisstad,Rhode Island,$13190.85,35172,FMCG
Monica Herrera,84959 Janet Cape Apt. 413,South Joshuastad,Hawaii,$9562.48,49021,IT
Michael Miles,283 Steven Groves,Lake Mark,Wyoming,$12736.9,07832,IT
Andrew Stewart,39537 Wilkerson Row Suite 242,Lake Anna,Kentucky,$12133.45,98413,IT
Stephanie Ross,87101 Courtney Turnpike,Carlsonfurt,Missouri,$8208.58,78605,FMCG
Kendra Maddox DVM,184 Rodriguez Mews,South Aaron,Washington,$9628.63,94830,IT
Jonathan White,489 Eric Track,New Stephanie,North Dakota,$11928.72,00575,Public Service
Katherine Rodriguez,3039 Christopher Oval Apt. 822,Arroyoburgh,Kentucky,$9543.08,69664,Private Service
Jenny Lewis,465 Lam Mission,East Jeffreymouth,Alaska,$13666.01,77611,IT
Leah Smith,10518 Joshua Oval,New David,Oregon,$13311.65,76026,FMCG
Richard Aguirre,16566 Shields Center,North Richardmouth,Connecticut,$12886.98,33092,Private Service
Joshua Taylor,7317 Brent Plains,North Sarabury,Hawaii,$9945.1,53770,FMCG
Mr. James Brown,64746 Moore Hill Apt. 098,Lake Leeton,Pennsylvania,$14700.49,62994,Private Service
Sarah Moore,19136 Shelly Port,New Brooke,South Carolina,$8715.47,11246,Public Service
Kevin Mills,53462 Bryant Terrace Apt. 079,North Amandahaven,Kentucky,$8677.01,17862,Private Service
Shirley Suarez,2784 Elizabeth Plaza Suite 124,North Juliaberg,Louisiana,$12226.08,37431,IT
Michelle Harris,740 Cynthia Village Suite 005,Lake Tina,Hawaii,$13108.12,97655,IT
Michael Hoffman,28059 Russell Canyon,Michaelton,Minnesota,$14811.81,28036,Public Service
Mary Gomez,232 Nicole Burg Apt. 563,Erikville,Missouri,$8551.6,05576,Private Service
Courtney Velasquez,4330 Raymond Harbors Apt. 458,Frazierside,Michigan,$13805.83,04118,Private Service
Wesley White,19655 Obrien Pass Apt. 693,Bradleychester,Alabama,$12041.47,68647,IT
Kimberly Ball,6159 Alvarado Crossing,Williamchester,Massachusetts,$8320.77,53244,FMCG
Kristen Lee,299 Sullivan Village Apt. 443,Floydmouth,New Jersey,$13411.48,58406,IT
